time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-19T14:14:47.038Z,36.4116,53.9089,10,4.3,mb,68,50,3.687,0.68,us,us7000kgw7,2023-07-19T20:19:41.040Z,"44 km SE of Behshahr, Iran",earthquake,7.13,1.894,0.085,39,reviewed,us,us
2023-07-18T20:30:55.209Z,45.0385,23.0251,12.806,4,mb,46,36,1.136,1.19,us,us7000kgn3,2023-07-19T04:47:16.666Z,"3 km SSW of Peştişani, Romania",earthquake,2.88,4.943,0.156,13,reviewed,us,us
2023-07-17T12:04:26.739Z,36.5808,23.0401,70.563,4.2,mb,32,194,1.075,0.49,us,us7000kgby,2023-07-17T12:24:40.040Z,"",earthquake,8.42,10.896,0.176,9,reviewed,us,us
2023-07-11T09:52:19.105Z,39.3973,26.2615,10,3.4,ml,27,83,0.597,0.75,us,us7000ketw,2023-07-11T13:19:44.229Z,"8 km ENE of Míthymna, Greece",earthquake,2.18,1.999,0.073,25,reviewed,us,us
2023-07-09T02:27:36.163Z,38,36.3643,5.736,3.5,ml,9,93,0.409,0.44,us,us6000kr1s,2023-07-10T02:41:16.388Z,"11 km WSW of Göksun, Turkey",earthquake,2.46,8.991,0.081,20,reviewed,us,us
2023-07-08T19:29:31.413Z,34.2456,23.7209,36.809,4.3,mb,31,122,3.271,1.06,us,us6000kr09,2023-07-09T01:30:33.040Z,"73 km SSW of Kastrí, Greece",earthquake,10.06,10.287,0.187,8,reviewed,us,us
2023-07-08T14:02:51.145Z,38.5549,21.8774,10,4.8,mb,49,99,1.374,0.92,us,us6000kqz4,2023-07-08T14:33:16.040Z,"18 km E of Thérmo, Greece",earthquake,5.41,1.891,0.064,75,reviewed,us,us
2023-07-03T20:01:49.899Z,41.729,49.2631,53,5.3,mww,103,31,2.391,0.88,us,us6000kpxj,2023-07-13T17:33:48.959Z,"48 km NE of Xaçmaz, Azerbaijan",earthquake,4.72,1.886,0.057,30,reviewed,us,us
2023-07-02T21:51:03.227Z,32.4203,47.3544,10,4.4,mb,101,51,5.77,0.64,us,us6000kpqc,2023-07-15T22:56:59.040Z,"31 km SSE of Dehlorān, Iran",earthquake,7.65,1.861,0.073,55,reviewed,us,us
2023-06-30T07:49:46.362Z,36.5258,25.6829,11.1,4.3,mb,63,111,1.992,0.88,us,us6000kp1h,2023-07-12T06:15:48.040Z,"25 km ENE of Mesariá, Greece",earthquake,6.59,4.746,0.116,21,reviewed,us,us
2023-06-29T13:34:44.317Z,38.013,37.3229,10,4.1,mb,21,70,0.605,1.09,us,us6000knvh,2023-06-29T15:43:47.040Z,"11 km WNW of Nurhak, Turkey",earthquake,2.83,1.96,0.302,3,reviewed,us,us
2023-06-29T05:28:08.762Z,37.9557,36.3047,10,4.3,mb,40,53,0.376,0.49,us,us6000knth,2023-06-29T05:47:20.040Z,"18 km WSW of Göksun, Turkey",earthquake,4.03,1.046,0.119,20,reviewed,us,us
2023-06-28T19:08:37.902Z,32.5208,47.3245,15.543,4.6,mb,87,86,5.676,0.83,us,us6000knqa,2023-07-10T16:52:00.281Z,"19 km SSE of Dehlorān, Iran",earthquake,9.24,4.429,0.053,106,reviewed,us,us
2023-06-27T12:40:08.299Z,38.5,39.1573,10.116,4.2,mb,14,76,0.873,0.85,us,us6000kndx,2023-06-28T06:21:30.040Z,"14 km WNW of Sivrice, Turkey",earthquake,3.01,5.755,0.374,2,reviewed,us,us
2023-06-26T06:41:31.369Z,37.1204,43.3614,10,4.3,mb,46,163,0.474,0.6,us,us7000kb3b,2023-06-26T15:20:44.040Z,"",earthquake,6.38,1.941,0.087,38,reviewed,us,us
2023-06-23T10:56:23.016Z,39.1031,20.5575,10,4.2,mb,36,110,0.888,0.44,us,us7000kaii,2023-07-19T21:54:22.700Z,"14 km SSW of Kanaláki, Greece",earthquake,3.3,1.877,0.159,11,reviewed,us,us
2023-06-22T05:21:04.014Z,37.9966,38.4094,10,4.1,mb,48,76,0.644,0.66,us,us7000ka9f,2023-07-14T11:59:00.966Z,"15 km ESE of Çelikhan, Turkey",earthquake,3.37,1.922,0.114,22,reviewed,us,us
2023-06-22T02:42:27.345Z,44.0179,33.4058,23.472,4.7,mww,114,25,2.103,0.54,us,us7000ka91,2023-07-20T03:09:20.827Z,"Crimea region, Ukraine",earthquake,6.18,4.379,0.06,27,reviewed,us,us
2023-06-19T22:45:00.978Z,45.4728,26.2845,134.574,4.1,mb,39,39,0.24,0.75,us,us7000k9ql,2023-07-19T03:51:44.040Z,"2 km SE of Cașoca, Romania",earthquake,6.79,3.272,0.135,15,reviewed,us,us
2023-06-19T18:31:31.446Z,37.9955,36.5699,10,4.4,mb,98,25,0.428,0.84,us,us7000k9nd,2023-06-28T13:40:13.040Z,"6 km ESE of Göksun, Turkey",earthquake,3.32,1.792,0.068,62,reviewed,us,us
2023-06-19T10:15:39.910Z,38.8221,44.4443,10,4.2,mb,44,101,1.2,0.95,us,us7000k9jk,2023-07-18T11:21:06.040Z,"43 km ENE of Özalp, Turkey",earthquake,5.08,1.885,0.118,20,reviewed,us,us
2023-06-19T00:30:18.898Z,38.1399,38.0173,10,4.1,mb,72,43,0.945,0.75,us,us7000k9gw,2023-07-18T04:16:34.040Z,"14 km ENE of Doğanşehir, Turkey",earthquake,4.68,1.878,0.089,35,reviewed,us,us
2023-06-18T20:59:23.441Z,37.841,36.2621,10,4.2,mb,45,39,0.269,0.75,us,us7000k9fc,2023-07-03T17:37:17.040Z,"22 km SE of Saimbeyli, Turkey",earthquake,2.75,1.436,0.132,16,reviewed,us,us
2023-06-18T15:36:29.471Z,38.1174,38.6148,10,4.5,mb,62,63,0.695,0.99,us,us7000k9dr,2023-07-16T19:00:13.040Z,"8 km N of Sincik, Turkey",earthquake,1.35,1.88,0.07,60,reviewed,us,us
2023-06-17T22:02:56.115Z,37.6295,37.4085,10,4.3,mb,69,76,0.422,0.62,us,us7000k999,2023-07-21T00:07:57.040Z,"16 km SE of Çağlayancerit, Turkey",earthquake,2.88,1.858,0.087,37,reviewed,us,us
